Date,Time,Light,SD,Rep,NewRep,ID,Weight,Severity,Presence
44594,t1,Low,4,R1,1,1,13.5,1,1
44594,t1,Low,4,R1,1,2,18.5,0,0
44594,t1,Low,4,R1,1,3,11.3,0,0
44594,t1,Low,4,R1,1,4,14.4,0,0
44594,t1,Low,4,R1,1,5,19.4,0,0
44594,t1,Low,4,R1,1,6,18.6,0,0
44594,t1,Low,4,R1,1,7,11.5,0,0
44594,t1,Low,4,R1,1,8,19.7,0,0
44594,t1,Low,4,R2,2,9,15.5,0,0
44594,t1,Low,4,R2,2,10,10.7,0,0
44594,t1,Low,4,R2,2,11,7,0,0
44594,t1,Low,4,R2,2,12,8,0,0
44594,t1,Low,4,R2,2,13,11.5,0,0
44594,t1,Low,4,R2,2,14,9.8,1,1
44594,t1,Low,4,R2,2,15,5.3,1,1
44594,t1,Low,4,R2,2,16,10.1,0,0
44594,t1,Low,4,R2,2,17,8.6,0,0
44594,t1,Low,4,R2,2,18,11,0,0
44594,t1,Low,4,R2,2,19,11.1,0,0
44594,t1,Low,4,R2,2,20,7.4,0,0
44594,t1,Low,4,R3,3,21,13.6,0,0
44594,t1,Low,4,R3,3,22,13.5,0,0
44594,t1,Low,4,R3,3,23,5.4,1,1
44594,t1,Low,4,R3,3,24,7.1,0,0
44594,t1,Low,4,R3,3,25,15.3,0,0
44594,t1,Low,4,R3,3,26,8.6,0,0
44594,t1,Low,4,R3,3,27,10,0,0
44594,t1,Low,4,R3,3,28,14.4,0,0
44594,t1,Low,4,R3,3,29,12.7,0,0
44594,t1,Low,4,R3,3,30,6.2,0,0
44594,t1,Low,4,R3,3,31,16.1,0,0
44594,t1,Low,5,R1,4,32,14.1,0,0
44594,t1,Low,5,R1,4,33,12.1,0,0
44594,t1,Low,5,R1,4,34,8.2,0,0
44594,t1,Low,5,R1,4,35,6.4,0,0
44594,t1,Low,5,R1,4,36,7.9,0,0
44594,t1,Low,5,R1,4,37,11.9,0,0
44594,t1,Low,5,R1,4,38,10.4,1,1
44594,t1,Low,5,R1,4,39,9.8,0,0
44594,t1,Low,5,R1,4,40,13.2,0,0
44594,t1,Low,5,R1,4,41,12.5,0,0
44594,t1,Low,5,R1,4,42,11.5,0,0
44594,t1,Low,5,R1,4,43,7.8,1,1
44594,t1,Low,5,R1,4,44,11.4,0,0
44594,t1,Low,5,R1,4,45,13,0,0
44594,t1,Low,5,R1,4,46,10.5,0,0
44594,t1,Low,5,R1,4,47,5.8,0,0
44594,t1,Low,5,R1,4,48,5.2,0,0
44594,t1,Low,5,R1,4,49,7.9,0,0
44594,t1,Low,5,R1,4,50,15.7,0,0
44594,t1,Low,5,R2,5,51,6.3,0,0
44594,t1,Low,5,R2,5,52,15.1,0,0
44594,t1,Low,5,R2,5,53,11.4,0,0
44594,t1,Low,5,R2,5,54,13.5,0,0
44594,t1,Low,5,R2,5,55,15.5,0,0
44594,t1,Low,5,R2,5,56,14.2,0,0
44594,t1,Low,5,R2,5,57,8.1,0,0
44594,t1,Low,5,R2,5,58,14.8,0,0
44594,t1,Low,5,R2,5,59,5.9,0,0
44594,t1,Low,5,R2,5,60,13.4,0,0
44594,t1,Low,5,R2,5,61,9.5,0,0
44594,t1,Low,5,R2,5,62,13,0,0
44594,t1,Low,5,R2,5,63,9,0,0
44594,t1,Low,5,R2,5,64,15.2,0,0
44594,t1,Low,5,R2,5,65,7.6,0,0
44594,t1,Low,5,R2,5,66,4.5,0,0
44594,t1,Low,5,R2,5,67,6.4,0,0
44594,t1,Low,5,R2,5,68,14.1,1,1
44594,t1,Low,5,R3,6,69,11.3,0,0
44594,t1,Low,5,R3,6,70,12.8,0,0
44594,t1,Low,5,R3,6,71,7.4,0,0
44594,t1,Low,5,R3,6,72,9.5,0,0
44594,t1,Low,5,R3,6,73,13,0,0
44594,t1,Low,5,R3,6,74,7.3,0,0
44594,t1,Low,5,R3,6,75,11.2,0,0
44594,t1,Low,5,R3,6,76,12.4,0,0
44594,t1,Low,5,R3,6,77,10.1,0,0
44594,t1,Low,5,R3,6,78,5.6,0,0
44594,t1,Low,5,R3,6,79,7.4,0,0
44594,t1,Low,5,R3,6,80,10.4,0,0
44594,t1,Low,5,R3,6,81,8.9,0,0
44594,t1,Low,5,R3,6,82,13.8,0,0
44594,t1,Low,5,R3,6,83,5.7,0,0
44594,t1,Low,5,R3,6,84,10.3,0,0
44594,t1,Low,5,R3,6,85,11,0,0
44594,t1,Low,5,R3,6,86,9.7,0,0
44594,t1,Low,5,R3,6,87,5.9,0,0
44594,t1,Low,5,R3,6,88,11,0,0
44594,t1,Low,6,R1,7,89,13.1,0,0
44594,t1,Low,6,R1,7,90,9.9,0,0
44594,t1,Low,6,R1,7,91,10.3,0,0
44594,t1,Low,6,R1,7,92,11.6,0,0
44594,t1,Low,6,R1,7,93,10.2,0,0
44594,t1,Low,6,R1,7,94,8.2,0,0
44594,t1,Low,6,R1,7,95,14.1,0,0
44594,t1,Low,6,R1,7,96,14.2,0,0
44594,t1,Low,6,R1,7,97,12,0,0
44594,t1,Low,6,R1,7,98,7.2,0,0
44594,t1,Low,6,R1,7,99,6,0,0
44594,t1,Low,6,R1,7,100,11.8,1,1
44594,t1,Low,6,R1,7,101,7.2,0,0
44594,t1,Low,6,R1,7,102,9.2,0,0
44594,t1,Low,6,R1,7,103,8.2,0,0
44594,t1,Low,6,R1,7,104,8.6,0,0
44594,t1,Low,6,R1,7,105,14.9,0,0
44594,t1,Low,6,R1,7,106,6.5,0,0
44594,t1,Low,6,R1,7,107,8.6,0,0
44594,t1,Low,6,R1,7,108,8.5,0,0
44594,t1,Low,6,R1,7,109,9.9,0,0
44594,t1,Low,6,R1,7,110,8.4,0,0
44594,t1,Low,6,R1,7,111,10.1,0,0
44594,t1,Low,6,R1,7,112,8.7,0,0
44594,t1,Low,6,R1,7,113,9.1,0,0
44594,t1,Low,6,R1,7,114,11.9,0,0
44594,t1,Low,6,R1,7,115,14.1,0,0
44594,t1,Low,6,R2,8,116,12.7,0,0
44594,t1,Low,6,R2,8,117,11.1,0,0
44594,t1,Low,6,R2,8,118,10.4,0,0
44594,t1,Low,6,R2,8,119,12.4,0,0
44594,t1,Low,6,R2,8,120,10.2,0,0
44594,t1,Low,6,R2,8,121,10.6,0,0
44594,t1,Low,6,R2,8,122,8.5,0,0
44594,t1,Low,6,R2,8,123,14,0,0
44594,t1,Low,6,R2,8,124,8.3,0,0
44594,t1,Low,6,R2,8,125,10.2,0,0
44594,t1,Low,6,R2,8,126,11.5,0,0
44594,t1,Low,6,R2,8,127,8.5,0,0
44594,t1,Low,6,R2,8,128,8.5,0,0
44594,t1,Low,6,R2,8,129,10.7,0,0
44594,t1,Low,6,R2,8,130,9,0,0
44594,t1,Low,6,R2,8,131,9.3,0,0
44594,t1,Low,6,R2,8,132,6.1,0,0
44594,t1,Low,6,R2,8,133,5.5,0,0
44594,t1,Low,6,R2,8,134,11.4,0,0
44594,t1,Low,6,R2,8,135,6.8,0,0
44594,t1,Low,6,R2,8,136,13.3,0,0
44594,t1,Low,6,R2,8,137,7.3,0,0
44594,t1,Low,6,R2,8,138,6.2,0,0
44594,t1,Low,6,R2,8,139,12.5,0,0
44594,t1,Low,6,R2,8,140,8,0,0
44594,t1,Low,6,R2,8,141,18.2,0,0
44594,t1,Low,6,R2,8,142,9.1,0,0
44594,t1,Low,6,R3,9,143,12.7,0,0
44594,t1,Low,6,R3,9,144,7.9,0,0
44594,t1,Low,6,R3,9,145,5.5,0,0
44594,t1,Low,6,R3,9,146,13.7,0,0
44594,t1,Low,6,R3,9,147,11.6,0,0
44594,t1,Low,6,R3,9,148,14.2,0,0
44594,t1,Low,6,R3,9,149,10.6,0,0
44594,t1,Low,6,R3,9,150,11.2,0,0
44594,t1,Low,6,R3,9,151,7,0,0
44594,t1,Low,6,R3,9,152,14.3,0,0
44594,t1,Low,6,R3,9,153,9.1,0,0
44594,t1,Low,6,R3,9,154,7.3,1,1
44594,t1,Low,6,R3,9,155,7.3,0,0
44594,t1,Low,6,R3,9,156,7.7,1,1
44594,t1,Low,6,R3,9,157,7.5,0,0
44594,t1,Low,6,R3,9,158,12.3,0,0
44594,t1,Low,6,R3,9,159,9.7,0,0
44594,t1,Low,6,R3,9,160,9.7,0,0
44594,t1,Low,6,R3,9,161,5.3,0,0
44594,t1,Low,6,R3,9,162,6.4,0,0
44594,t1,Low,6,R3,9,163,9.3,0,0
44594,t1,Low,6,R3,9,164,7.8,0,0
44594,t1,Low,6,R3,9,165,5.7,0,0
44594,t1,Low,6,R3,9,166,9,0,0
44594,t1,Low,6,R3,9,167,14.8,0,0
44594,t1,Low,6,R3,9,168,8,0,0
44594,t1,Low,6,R3,9,169,15.1,0,0
44594,t1,Low,6,R3,9,170,12.6,0,0
44594,t1,High,4,R1,10,171,10.9,0,0
44594,t1,High,4,R1,10,172,12.9,0,0
44594,t1,High,4,R1,10,173,6.1,0,0
44594,t1,High,4,R1,10,174,10.6,0,0
44594,t1,High,4,R1,10,175,14.8,0,0
44594,t1,High,4,R1,10,176,8.2,0,0
44594,t1,High,4,R1,10,177,14.2,0,0
44594,t1,High,4,R1,10,178,7.6,0,0
44594,t1,High,4,R1,10,179,11.6,0,0
44594,t1,High,4,R1,10,180,16.2,0,0
44594,t1,High,4,R2,11,181,17.1,0,0
44594,t1,High,4,R2,11,182,14.2,0,0
44594,t1,High,4,R2,11,183,9,0,0
44594,t1,High,4,R2,11,184,12.5,0,0
44594,t1,High,4,R2,11,185,11.2,0,0
44594,t1,High,4,R2,11,186,11.3,0,0
44594,t1,High,4,R2,11,187,7.5,0,0
44594,t1,High,4,R2,11,188,12.8,0,0
44594,t1,High,4,R2,11,189,11.2,0,0
44594,t1,High,4,R2,11,190,6.1,0,0
44594,t1,High,4,R2,11,191,5.3,0,0
44594,t1,High,4,R3,12,192,17.2,1,1
44594,t1,High,4,R3,12,193,16.8,0,0
44594,t1,High,4,R3,12,194,9.1,0,0
44594,t1,High,4,R3,12,195,13,0,0
44594,t1,High,4,R3,12,196,13,0,0
44594,t1,High,4,R3,12,197,8.7,0,0
44594,t1,High,4,R3,12,198,6.7,0,0
44594,t1,High,4,R3,12,199,13.4,0,0
44594,t1,High,4,R3,12,200,8.5,0,0
44594,t1,High,4,R3,12,201,7.3,0,0
44594,t1,High,4,R3,12,202,5.3,0,0
44594,t1,High,5,R1,13,203,13.7,0,0
44594,t1,High,5,R1,13,204,13,0,0
44594,t1,High,5,R1,13,205,7.5,0,0
44594,t1,High,5,R1,13,206,8.3,0,0
44594,t1,High,5,R1,13,207,9.1,0,0
44594,t1,High,5,R1,13,208,6.1,0,0
44594,t1,High,5,R1,13,209,12.2,0,0
