Date,Time,Light,SD,Rep,NewRep,Presence
44650,t5,Low,4,R1,1,0.5
44650,t5,Low,4,R2,2,0.2
44650,t5,Low,4,R3,3,0
44650,t5,Low,5,R1,4,0.555555556
44650,t5,Low,5,R2,5,0.142857143
44650,t5,Low,5,R3,6,0.111111111
44650,t5,Low,6,R1,7,0
44650,t5,Low,6,R2,8,0.307692308
44650,t5,Low,6,R3,9,0.083333333
44650,t5,High,4,R1,10,0
44650,t5,High,4,R2,11,0.6
44650,t5,High,4,R3,12,0.5
44650,t5,High,5,R1,13,0
44650,t5,High,5,R2,14,0
44650,t5,High,5,R3,15,0.142857143
44650,t5,High,6,R1,16,0.090909091
44650,t5,High,6,R2,17,0.333333333
44650,t5,High,6,R3,18,0.181818182
