Date,Time,Light,SD ,Rep,NewRep,ID,Weight,Severity,Presence
44587,t1,Ambient,1,R1,1,1,4,0,0
44587,t1,Ambient,1,R1,1,2,5,1,1
44587,t1,Ambient,1,R1,1,3,5.9,1,1
44587,t1,Ambient,1,R1,1,4,3.2,1,1
44587,t1,Ambient,1,R1,1,5,3,0,0
44587,t1,Ambient,1,R1,1,6,2.8,0,0
44587,t1,Ambient,1,R1,1,7,3.5,1,1
44587,t1,Ambient,1,R1,1,8,3.4,1,1
44587,t1,Ambient,1,R1,1,9,5.9,1,1
44587,t1,Ambient,1,R1,1,10,4.5,0,0
44587,t1,Ambient,1,R1,1,11,4.9,1,1
44587,t1,Ambient,1,R1,1,12,2.3,1,1
44587,t1,Ambient,1,R1,1,13,5.1,1,1
44587,t1,Ambient,1,R1,1,14,2.8,0,0
44587,t1,Ambient,1,R1,1,15,3.4,1,1
44587,t1,Ambient,1,R1,1,16,4.2,1,1
44587,t1,Ambient,1,R1,1,17,4,1,1
44587,t1,Ambient,1,R1,1,18,6.1,1,1
44587,t1,Ambient,1,R1,1,19,3.1,0,0
44587,t1,Ambient,1,R1,1,20,1.7,0,0
44587,t1,Ambient,1,R2,2,21,5,1,1
44587,t1,Ambient,1,R2,2,22,4.3,1,1
44587,t1,Ambient,1,R2,2,23,3.9,0,0
44587,t1,Ambient,1,R2,2,24,6.1,1,1
44587,t1,Ambient,1,R2,2,25,6.1,0,0
44587,t1,Ambient,1,R2,2,26,5.3,1,1
44587,t1,Ambient,1,R2,2,27,6.6,1,1
44587,t1,Ambient,1,R2,2,28,5.2,1,1
44587,t1,Ambient,1,R2,2,29,3,1,1
44587,t1,Ambient,1,R2,2,30,3.4,1,1
44587,t1,Ambient,1,R2,2,31,6.6,1,1
44587,t1,Ambient,1,R2,2,32,3.7,1,1
44587,t1,Ambient,1,R2,2,33,5.2,0,0
44587,t1,Ambient,1,R2,2,34,4.3,1,1
44587,t1,Ambient,1,R2,2,35,6.1,1,1
44587,t1,Ambient,1,R2,2,36,2.7,1,1
44587,t1,Ambient,1,R2,2,37,6.7,0,0
44587,t1,Ambient,1,R2,2,38,3.9,0,0
44587,t1,Ambient,1,R2,2,39,3.8,1,1
44587,t1,Ambient,1,R2,2,40,5.5,0,0
44587,t1,Ambient,1,R3,3,41,5.5,0,0
44587,t1,Ambient,1,R3,3,42,3.5,1,1
44587,t1,Ambient,1,R3,3,43,5.4,1,1
44587,t1,Ambient,1,R3,3,44,5.3,1,1
44587,t1,Ambient,1,R3,3,45,3.7,1,1
44587,t1,Ambient,1,R3,3,46,2.9,1,1
44587,t1,Ambient,1,R3,3,47,3.2,1,1
44587,t1,Ambient,1,R3,3,48,4.9,1,1
44587,t1,Ambient,1,R3,3,49,5.6,0,0
44587,t1,Ambient,1,R3,3,50,4.5,1,1
44587,t1,Ambient,1,R3,3,51,5.7,1,1
44587,t1,Ambient,1,R3,3,52,5.5,1,1
44587,t1,Ambient,1,R3,3,53,1.8,0,0
