Light,SD ,Rep,NewRep,Totalgrowth_percent
Ambient,1,R1,1,141.8604651
Ambient,1,R2,2,97.5625
Ambient,1,R3,3,85.77629382
Ambient,2,R1,4,142.6887519
Ambient,2,R2,5,185.6588355
Ambient,2,R3,6,183.6065574
Ambient,3,R1,7,142.3346878
Ambient,3,R2,8,163.3333333
Ambient,3,R3,9,128.9925926
Low,1,R1,10,80.11656953
Low,1,R2,11,102.5020851
Low,1,R3,12,114.6669408
Low,2,R1,13,124.1884281
Low,2,R2,14,80.12944162
Low,2,R3,15,116.4790174
Low,3,R1,16,91.9058131
Low,3,R2,17,101.4296296
Low,3,R3,18,84.46122297
High,1,R1,19,111.3861386
High,1,R2,20,94.75041597
High,1,R3,21,103.5091362
High,2,R1,22,140.2358974
High,2,R2,23,135.3646099
High,2,R3,24,107.6903292
High,3,R1,25,101.315109
High,3,R2,26,87.22633136
High,3,R3,27,108.8564027
