Date,Time,Light,SD ,Rep,NewRep,Presence
44629,t4,Ambient,1,R1,1,0.45
44629,t4,Ambient,1,R2,2,0.4375
44629,t4,Ambient,1,R3,3,0.263157895
44629,t4,Ambient,2,R1,4,0.4
44629,t4,Ambient,2,R2,5,0.4
44629,t4,Ambient,2,R3,6,0.45
44629,t4,Ambient,3,R1,7,0.5
44629,t4,Ambient,3,R2,8,0.25
44629,t4,Ambient,3,R3,9,0.5
44629,t4,Low,1,R1,10,0.529411765
44629,t4,Low,1,R2,11,0.5
44629,t4,Low,1,R3,12,0.222222222
44629,t4,Low,2,R1,13,0.6
44629,t4,Low,2,R2,14,0.3
44629,t4,Low,2,R3,15,0.55
44629,t4,Low,3,R1,16,0.5
44629,t4,Low,3,R2,17,0.3
44629,t4,Low,3,R3,18,0.4
44629,t4,High,1,R1,19,0.4
44629,t4,High,1,R2,20,0.4375
44629,t4,High,1,R3,21,0.529411765
44629,t4,High,2,R1,22,0.55
44629,t4,High,2,R2,23,0.5
44629,t4,High,2,R3,24,0.55
44629,t4,High,3,R1,25,0.55
44629,t4,High,3,R2,26,0.65
44629,t4,High,3,R3,27,0.6
